ds,method,split_number,zscore_norm
11_bank_churn,LightGBM,5,0.6245043708596661
11_bank_churn,LightGBM,6,0.6215282230786331
11_bank_churn,LightGBM,7,0.5875459163612428
11_bank_churn,LightGBM,8,0.6722654108540876
11_bank_churn,LightGBM,9,0.6163110306768306
11_bank_churn,LogReg,0,0.2784041615834816
11_bank_churn,LogReg,1,0.2402063593544765
11_bank_churn,LogReg,2,0.2308326655559467
11_bank_churn,LogReg,3,0.04513979140708887
11_bank_churn,LogReg,4,0.19436899667966986
11_bank_churn,LogReg,5,0.09580460638813786
11_bank_churn,LogReg,6,0.23940959538160098
11_bank_churn,LogReg,7,0.15851529474992146
11_bank_churn,LogReg,8,0.3364450492858378
11_bank_churn,LogReg,9,0.18123573663778644
11_bank_churn,MLP,0,0.5411487987562479
11_bank_churn,MLP,1,0.6410723746485657
11_bank_churn,MLP,2,0.6802778489609134
11_bank_churn,MLP,3,0.3938412007123651
11_bank_churn,MLP,4,0.5295957211495607
11_bank_churn,MLP,5,0.5949538011598037
11_bank_churn,MLP,6,0.6239653834662507
11_bank_churn,MLP,7,0.5584515202791639
11_bank_churn,MLP,8,0.6297410227244195
11_bank_churn,MLP,9,0.5650371556089794
11_bank_churn,RandomForest,0,0.49817041268999224
11_bank_churn,RandomForest,1,0.6136074518188762
11_bank_churn,RandomForest,2,0.6582848198861151
11_bank_churn,RandomForest,3,0.3981765340941852
11_bank_churn,RandomForest,4,0.5469487717940876
11_bank_churn,RandomForest,5,0.575362781120878
11_bank_churn,RandomForest,6,0.5773546910530655
11_bank_churn,RandomForest,7,0.5809485209683375
11_bank_churn,RandomForest,8,0.6386904307351152
11_bank_churn,RandomForest,9,0.5764679369314457
11_bank_churn,SVM,0,0.4202633001069684
11_bank_churn,SVM,1,0.5095594506552054
11_bank_churn,SVM,2,0.5453200924965925
11_bank_churn,SVM,3,0.2262395555946678
11_bank_churn,SVM,4,0.39962945663295685
11_bank_churn,SVM,5,0.4573714104318954
11_bank_churn,SVM,6,0.47466587549018086
11_bank_churn,SVM,7,0.4121210552632742
11_bank_churn,SVM,8,0.48469240458522694
11_bank_churn,SVM,9,0.43785207330191195
11_bank_churn,TabPFN,0,0.6396897548132829
11_bank_churn,TabPFN,1,0.706922573583232
11_bank_churn,TabPFN,2,0.7342234567714473
11_bank_churn,TabPFN,3,0.47419719080025463
11_bank_churn,TabPFN,4,0.6412012629382954
11_bank_churn,TabPFN,5,0.666299328083857
11_bank_churn,TabPFN,6,0.6975137284329583
11_bank_churn,TabPFN,7,0.6269656478354259
11_bank_churn,TabPFN,8,0.711226499867801
11_bank_churn,TabPFN,9,0.6349860108620944
11_bank_churn,XGBoost,0,0.5006075730776094
11_bank_churn,XGBoost,1,0.5633644530587607
11_bank_churn,XGBoost,2,0.6421034809664039
11_bank_churn,XGBoost,3,0.3177033728338137
11_bank_churn,XGBoost,4,0.47895434040300816
11_bank_churn,XGBoost,5,0.5608569899676543
11_bank_churn,XGBoost,6,0.5599899232912904
11_bank_churn,XGBoost,7,0.5180439435055081
11_bank_churn,XGBoost,8,0.6288942981820145
11_bank_churn,XGBoost,9,0.5924145824800708
1_german_credit,CatBoost,0,0.6176540876741328
1_german_credit,CatBoost,1,0.6837198145483422
1_german_credit,CatBoost,2,0.5002039065644267
1_german_credit,CatBoost,3,0.4323030206103784
1_german_credit,CatBoost,4,0.6708737009894682
1_german_credit,CatBoost,5,0.5956321787160627
1_german_credit,CatBoost,6,0.7057417235064118
1_german_credit,CatBoost,7,0.749785541422551
1_german_credit,CatBoost,8,0.5075445428837836
1_german_credit,CatBoost,9,0.3405450666184202
1_german_credit,KNN,0,0.3139352599607531
1_german_credit,KNN,1,0.44239639554949334
1_german_credit,KNN,2,0.3818361459148014
1_german_credit,KNN,3,0.016639489026810228
1_german_credit,KNN,4,0.0
1_german_credit,KNN,5,0.1662049540337013
1_german_credit,KNN,6,0.6360056784725242
1_german_credit,KNN,7,0.47818199760635705
1_german_credit,KNN,8,0.21300151056959918
1_german_credit,KNN,9,0.00838127316753375
1_german_credit,LightGBM,0,0.632335360312846
1_german_credit,LightGBM,1,0.5185554973628186
1_german_credit,LightGBM,2,0.3919295208539168
1_german_credit,LightGBM,3,0.28916061238292445
1_german_credit,LightGBM,4,0.6268298830733284
1_german_credit,LightGBM,5,0.5479180426402451
1_german_credit,LightGBM,6,0.5295664518418536
1_german_credit,LightGBM,7,0.4836874748458741
1_german_credit,LightGBM,8,0.40844595257246935
1_german_credit,LightGBM,9,0.42863270245069973
1_german_credit,LogReg,0,0.6139837695144545
1_german_credit,LogReg,1,0.720422996145126
1_german_credit,LogReg,2,0.446984293249092
1_german_credit,LogReg,3,0.3827537254547211
1_german_credit,LogReg,4,0.5625993152789579
1_german_credit,LogReg,5,0.3533911801772946
1_german_credit,LogReg,6,0.28181997606356807
1_german_credit,LogReg,7,0.7846535639394956
1_german_credit,LogReg,8,0.4855226339257139
1_german_credit,LogReg,9,0.4708413612870006
1_german_credit,MLP,0,0.5350719290813707
1_german_credit,MLP,1,0.5827860651571887
1_german_credit,MLP,2,0.5974673377959016
1_german_credit,MLP,3,0.39009436177407747
1_german_credit,MLP,4,0.53690708816121
1_german_credit,MLP,5,0.4983687474845873
1_german_credit,MLP,6,0.6121486104346152
1_german_credit,MLP,7,0.7424449051031948
1_german_credit,MLP,8,0.5277312927620142
1_german_credit,MLP,9,0.35522633925713426
1_german_credit,RandomForest,0,0.6525221101910768
1_german_credit,RandomForest,1,0.6626154851301918
1_german_credit,RandomForest,2,0.48827537254547243
1_german_credit,RandomForest,3,0.4864402134656331
1_german_credit,RandomForest,4,0.6369232580124434
1_german_credit,RandomForest,5,0.4827698953059549
1_german_credit,RandomForest,6,0.5359895086212899
1_german_credit,RandomForest,7,0.656192428350755
1_german_credit,RandomForest,8,0.3790834072950433
1_german_credit,RandomForest,9,0.28549029422324584
1_german_credit,SVM,0,0.5607641561991186
1_german_credit,SVM,1,0.619489246753972
1_german_credit,SVM,2,0.4855226339257139
1_german_credit,SVM,3,0.3276989530595467
1_german_credit,SVM,4,0.53690708816121
1_german_credit,SVM,5,0.4745116794466788
1_german_credit,SVM,6,0.5460828835604058
1_german_credit,SVM,7,0.8360380181749921
1_german_credit,SVM,8,0.502039065644266
1_german_credit,SVM,9,0.3313692712192245
1_german_credit,TabPFN,0,0.5644344743587972
1_german_credit,TabPFN,1,0.7644668140612648
1_german_credit,TabPFN,2,0.584621224237028
1_german_credit,TabPFN,3,0.433220600150298
1_german_credit,TabPFN,4,0.6864725531681007
1_german_credit,TabPFN,5,0.4992863270245074
1_german_credit,TabPFN,6,0.5965497582559823
1_german_credit,TabPFN,7,0.8075930524374849
1_german_credit,TabPFN,8,0.7195054166052054
1_german_credit,TabPFN,9,0.4616655658878049
1_german_credit,XGBoost,0,0.45799524772812666
1_german_credit,XGBoost,1,0.6341705193926849
1_german_credit,XGBoost,2,0.3882592026942386
1_german_credit,XGBoost,3,0.3662372937361689
1_german_credit,XGBoost,4,0.6763791782289853
1_german_credit,XGBoost,5,0.5515883607999229
1_german_credit,XGBoost,6,0.4708413612870006
1_german_credit,XGBoost,7,0.4323030206103784
1_german_credit,XGBoost,8,0.2506222717063022
1_german_credit,XGBoost,9,0.37541308913536464
27_loan_prediction_problem,CatBoost,0,0.4935067847510288
27_loan_prediction_problem,CatBoost,1,0.631038417623014
27_loan_prediction_problem,CatBoost,2,0.660359397686694
27_loan_prediction_problem,CatBoost,3,0.5087580604677259
27_loan_prediction_problem,CatBoost,4,0.5623817532766024
27_loan_prediction_problem,CatBoost,5,0.53656728409071
27_loan_prediction_problem,CatBoost,6,0.452083566755062
27_loan_prediction_problem,CatBoost,7,0.5717688329805634
27_loan_prediction_problem,CatBoost,8,0.7548168872078008
27_loan_prediction_problem,CatBoost,9,0.5295269743127392
27_loan_prediction_problem,KNN,0,0.16343086585826483
27_loan_prediction_problem,KNN,1,0.11414869741246998
27_loan_prediction_problem,KNN,2,0.11414869741246998
27_loan_prediction_problem,KNN,3,0.11414869741246998
27_loan_prediction_problem,KNN,4,0.11414869741246998
27_loan_prediction_problem,KNN,5,0.11414869741246998
27_loan_prediction_problem,KNN,6,0.16343086585826483
27_loan_prediction_problem,KNN,7,0.11414869741246998
27_loan_prediction_problem,KNN,8,0.11414869741246998
27_loan_prediction_problem,KNN,9,0.11414869741246998
27_loan_prediction_problem,LightGBM,0,0.49809117251342855
27_loan_prediction_problem,LightGBM,1,0.6837588768906085
27_loan_prediction_problem,LightGBM,2,0.5867881605069007
27_loan_prediction_problem,LightGBM,3,0.5421995319130865
27_loan_prediction_problem,LightGBM,4,0.5295269743127392
27_loan_prediction_problem,LightGBM,5,0.6210510014263579
27_loan_prediction_problem,LightGBM,6,0.5084060449788274
27_loan_prediction_problem,LightGBM,7,0.6069703818704167
27_loan_prediction_problem,LightGBM,8,0.6773734796501233
27_loan_prediction_problem,LightGBM,9,0.43096263742115
27_loan_prediction_problem,LogReg,0,0.6379149992666132
27_loan_prediction_problem,LogReg,1,0.5806101522366195
27_loan_prediction_problem,LogReg,2,0.4686282947332931
27_loan_prediction_problem,LogReg,3,0.4173513718504065
27_loan_prediction_problem,LogReg,4,0.5647285232025926
27_loan_prediction_problem,LogReg,5,0.515446354756798
27_loan_prediction_problem,LogReg,6,0.5694220630545731
27_loan_prediction_problem,LogReg,7,0.4567771066070423
27_loan_prediction_problem,LogReg,8,0.6351316209822994
27_loan_prediction_problem,LogReg,9,0.5788091427585341
27_loan_prediction_problem,MLP,0,0.09695724330347184
27_loan_prediction_problem,MLP,1,0.4316175499586358
27_loan_prediction_problem,MLP,2,0.6715065548351477
27_loan_prediction_problem,MLP,3,0.41735137185040666
27_loan_prediction_problem,MLP,4,0.5013657352008566
27_loan_prediction_problem,MLP,5,0.36055953964144344
27_loan_prediction_problem,MLP,6,0.3722933892713945
27_loan_prediction_problem,MLP,7,0.4145352479392184
27_loan_prediction_problem,MLP,8,0.6914540992060646
27_loan_prediction_problem,MLP,9,0.23383396363797138
27_loan_prediction_problem,RandomForest,0,0.4992372694540284
27_loan_prediction_problem,RandomForest,1,0.5691491828306209
27_loan_prediction_problem,RandomForest,2,0.6302620733858696
27_loan_prediction_problem,RandomForest,3,0.5867881605069007
27_loan_prediction_problem,RandomForest,4,0.5647285232025926
27_loan_prediction_problem,RandomForest,5,0.5130995848308079
27_loan_prediction_problem,RandomForest,6,0.470857726162984
27_loan_prediction_problem,RandomForest,7,0.6398251608342798
27_loan_prediction_problem,RandomForest,8,0.7090548736509913
27_loan_prediction_problem,RandomForest,9,0.5870228374994998
27_loan_prediction_problem,SVM,0,0.4430785193646345
27_loan_prediction_problem,SVM,1,0.5966555094050178
27_loan_prediction_problem,SVM,2,0.6737359862648384
27_loan_prediction_problem,SVM,3,0.41735137185040666
27_loan_prediction_problem,SVM,4,0.4755512660149643
27_loan_prediction_problem,SVM,5,0.5177931246827884
27_loan_prediction_problem,SVM,6,0.5130995848308076
27_loan_prediction_problem,SVM,7,0.5224866645347688
27_loan_prediction_problem,SVM,8,0.7008411789100254
27_loan_prediction_problem,SVM,9,0.5788091427585341
27_loan_prediction_problem,TabPFN,0,0.5622726011870215
27_loan_prediction_problem,TabPFN,1,0.6791744891282088
27_loan_prediction_problem,TabPFN,2,0.5689527090693751
27_loan_prediction_problem,TabPFN,3,0.5700674247842205
27_loan_prediction_problem,TabPFN,4,0.6022768420184362
27_loan_prediction_problem,TabPFN,5,0.5647285232025926
27_loan_prediction_problem,TabPFN,6,0.5694220630545731
27_loan_prediction_problem,TabPFN,7,0.5295269743127392
27_loan_prediction_problem,TabPFN,8,0.734869342836884
27_loan_prediction_problem,TabPFN,9,0.5928897623144755
27_loan_prediction_problem,XGBoost,0,0.4614160704142323
27_loan_prediction_problem,XGBoost,1,0.6127008665734162
27_loan_prediction_problem,XGBoost,2,0.6291473576710241
27_loan_prediction_problem,XGBoost,3,0.5622644147803028
27_loan_prediction_problem,XGBoost,4,0.4732044960889739
27_loan_prediction_problem,XGBoost,5,0.5788091427585341
27_loan_prediction_problem,XGBoost,6,0.5248334344607589
27_loan_prediction_problem,XGBoost,7,0.6210510014263582
27_loan_prediction_problem,XGBoost,8,0.6187042315003678
27_loan_prediction_problem,XGBoost,9,0.4919786554968957
2_bank_marketing,CatBoost,0,0.6657131414726888
2_bank_marketing,CatBoost,1,0.6552502592277566
2_bank_marketing,CatBoost,2,0.5307497686341485
2_bank_marketing,CatBoost,3,0.5966112699296697
2_bank_marketing,CatBoost,4,0.6747940250487634
2_bank_marketing,CatBoost,5,0.6498700568037665
2_bank_marketing,CatBoost,6,0.6536687331459278
2_bank_marketing,CatBoost,7,0.5893238073501355
2_bank_marketing,CatBoost,8,0.6956092209236674
2_bank_marketing,CatBoost,9,0.5869593251371573
2_bank_marketing,KNN,0,0.15158740907155085
2_bank_marketing,KNN,1,0.22178241756553274
2_bank_marketing,KNN,2,0.0
2_bank_marketing,KNN,3,0.1452433106954265
2_bank_marketing,KNN,4,0.18174134063763017
2_bank_marketing,KNN,5,0.042760177119068286
2_bank_marketing,KNN,6,0.05845878853310108
2_bank_marketing,KNN,7,0.12229980828350584
2_bank_marketing,KNN,8,0.3042486526723303
2_bank_marketing,KNN,9,0.060532555719894056
2_bank_marketing,LightGBM,0,0.6176151156303162
2_bank_marketing,LightGBM,1,0.6199185113484166
2_bank_marketing,LightGBM,2,0.5353175194649581
2_bank_marketing,LightGBM,3,0.598797543831596
2_bank_marketing,LightGBM,4,0.6530097790865736
2_bank_marketing,LightGBM,5,0.6463427144860454
2_bank_marketing,LightGBM,6,0.6327760132640409
2_bank_marketing,LightGBM,7,0.5819590266867615
2_bank_marketing,LightGBM,8,0.6605683697674044
2_bank_marketing,LightGBM,9,0.5405999689613935
2_bank_marketing,LogReg,0,0.47769358590705124
2_bank_marketing,LogReg,1,0.4467734264369545
2_bank_marketing,LogReg,2,0.3541691104482312
