ds,method,split_number,normalized
13_boston_housing,Linear,3,0.9804700746328787
13_boston_housing,Linear,4,0.9631834807251389
13_boston_housing,Linear,5,0.9998835576065541
13_boston_housing,Linear,6,0.9764523828304614
13_boston_housing,Linear,7,0.9875674363126177
13_boston_housing,Linear,8,0.9870844349356875
13_boston_housing,Linear,9,0.9858885843817443
13_boston_housing,Ridge,0,0.9807640472312145
13_boston_housing,Ridge,1,0.9811757363243789
13_boston_housing,Ridge,2,0.9802540104175176
13_boston_housing,Ridge,3,0.9804331809649894
13_boston_housing,Ridge,4,0.963233031615311
13_boston_housing,Ridge,5,0.999894158154921
13_boston_housing,Ridge,6,0.9765183729001085
13_boston_housing,Ridge,7,0.9875464890122296
13_boston_housing,Ridge,8,0.9871079705854502
13_boston_housing,Ridge,9,0.98587575322
13_boston_housing,Lasso,0,0.980794530657099
13_boston_housing,Lasso,1,0.9811653487045914
13_boston_housing,Lasso,2,0.9802642113247186
13_boston_housing,Lasso,3,0.9804699046160669
13_boston_housing,Lasso,4,0.9631825100467095
13_boston_housing,Lasso,5,0.9998835629422037
13_boston_housing,Lasso,6,0.9764528068097664
13_boston_housing,Lasso,7,0.9875674372081441
13_boston_housing,Lasso,8,0.9870845982907649
13_boston_housing,Lasso,9,0.985888637121101
13_boston_housing,ElasticNet,0,0.9719782650732275
13_boston_housing,ElasticNet,1,0.9795428188444449
13_boston_housing,ElasticNet,2,0.9760451818502548
13_boston_housing,ElasticNet,3,0.9693523184125289
13_boston_housing,ElasticNet,4,0.967398819050041
13_boston_housing,ElasticNet,5,0.9970311752507918
13_boston_housing,ElasticNet,6,0.9807703409255638
13_boston_housing,ElasticNet,7,0.9802650716460422
13_boston_housing,ElasticNet,8,0.9870648355960906
13_boston_housing,ElasticNet,9,0.9797960044994869
13_boston_housing,KNN,0,0.9924499033883685
13_boston_housing,KNN,1,0.9966536736582393
13_boston_housing,KNN,2,0.997175359396636
13_boston_housing,KNN,3,0.9993731194115157
13_boston_housing,KNN,4,0.9922366036656327
13_boston_housing,KNN,5,0.9952063422607766
13_boston_housing,KNN,6,0.9968501068086807
13_boston_housing,KNN,7,0.9986677459793186
13_boston_housing,KNN,8,0.9929637200371639
13_boston_housing,KNN,9,1.0
13_boston_housing,RandomForest,0,0.9966200124792117
13_boston_housing,RandomForest,1,0.998933680336967
13_boston_housing,RandomForest,2,0.9981888410350925
13_boston_housing,RandomForest,3,0.9928953114640793
13_boston_housing,RandomForest,4,0.992893866198052
13_boston_housing,RandomForest,5,0.9976028078617439
13_boston_housing,RandomForest,6,0.9978616873008905
13_boston_housing,RandomForest,7,0.9960267300275816
13_boston_housing,RandomForest,8,0.9967434888352292
13_boston_housing,RandomForest,9,0.9964315510058019
13_boston_housing,SVR,0,0.8826274439253519
13_boston_housing,SVR,1,0.9242945415072018
13_boston_housing,SVR,2,0.9034564739034452
13_boston_housing,SVR,3,0.8538504707742478
13_boston_housing,SVR,4,0.8955886990760508
13_boston_housing,SVR,5,0.9156772644072206
13_boston_housing,SVR,6,0.8961546524898563
13_boston_housing,SVR,7,0.8925613963077292
13_boston_housing,SVR,8,0.9155786013909819
13_boston_housing,SVR,9,0.8947787400039697
13_boston_housing,MLP,0,0.0
13_boston_housing,MLP,1,0.0
13_boston_housing,MLP,2,0.0
13_boston_housing,MLP,3,0.0
13_boston_housing,MLP,4,0.0
13_boston_housing,MLP,5,0.0
13_boston_housing,MLP,6,0.0
13_boston_housing,MLP,7,0.0
13_boston_housing,MLP,8,0.0
13_boston_housing,MLP,9,0.0
13_boston_housing,XGBoost,0,0.9951823821008138
13_boston_housing,XGBoost,1,0.9848007811094625
13_boston_housing,XGBoost,2,0.9973003338590619
13_boston_housing,XGBoost,3,0.9891422090815631
13_boston_housing,XGBoost,4,0.9914554802898125
13_boston_housing,XGBoost,5,0.9919971511176381
13_boston_housing,XGBoost,6,0.9968760469039856
13_boston_housing,XGBoost,7,0.9899819345089412
13_boston_housing,XGBoost,8,0.9957731947375177
13_boston_housing,XGBoost,9,0.989147789891079
13_boston_housing,LightGBM,0,0.9941759586466532
13_boston_housing,LightGBM,1,0.9969764164877851
13_boston_housing,LightGBM,2,0.9985011604358737
13_boston_housing,LightGBM,3,0.9842802406910494
13_boston_housing,LightGBM,4,0.9968213741583242
13_boston_housing,LightGBM,5,0.9967511726187154
13_boston_housing,LightGBM,6,0.9999530464358412
13_boston_housing,LightGBM,7,0.9930317738714814
13_boston_housing,LightGBM,8,0.995616937136444
13_boston_housing,LightGBM,9,0.9965134778717715
13_boston_housing,CatBoost,0,1.0
13_boston_housing,CatBoost,1,0.9950377793241558
13_boston_housing,CatBoost,2,0.9991022538027654
13_boston_housing,CatBoost,3,0.9985538348859081
13_boston_housing,CatBoost,4,0.9950473675095373
13_boston_housing,CatBoost,5,0.9965360021740167
13_boston_housing,CatBoost,6,1.0
13_boston_housing,CatBoost,7,0.9963624348201942
13_boston_housing,CatBoost,8,0.9963352236977665
13_boston_housing,CatBoost,9,0.9963430178851528
13_boston_housing,TabPFNReg,0,0.9975023752709042
13_boston_housing,TabPFNReg,1,1.0
13_boston_housing,TabPFNReg,2,1.0
13_boston_housing,TabPFNReg,3,1.0
13_boston_housing,TabPFNReg,4,1.0
13_boston_housing,TabPFNReg,5,1.0
13_boston_housing,TabPFNReg,6,0.9994787813072593
13_boston_housing,TabPFNReg,7,1.0
13_boston_housing,TabPFNReg,8,1.0
13_boston_housing,TabPFNReg,9,0.9991340746352562
14_house_prices,Linear,0,1.0
14_house_prices,Linear,1,0.9999995964763858
14_house_prices,Linear,2,1.0
14_house_prices,Linear,3,1.0
14_house_prices,Linear,4,0.9999998697950985
14_house_prices,Linear,5,0.9999999681948752
14_house_prices,Linear,6,0.9999989006290664
14_house_prices,Linear,7,1.0
14_house_prices,Linear,8,0.9999997256472065
14_house_prices,Linear,9,0.9999995758642168
14_house_prices,Ridge,0,0.999999513560245
14_house_prices,Ridge,1,1.0
14_house_prices,Ridge,2,0.999999606027234
14_house_prices,Ridge,3,0.9999999725635992
14_house_prices,Ridge,4,1.0
14_house_prices,Ridge,5,0.9999999973194625
14_house_prices,Ridge,6,0.9999991113491926
14_house_prices,Ridge,7,0.999999417776496
14_house_prices,Ridge,8,1.0
14_house_prices,Ridge,9,1.0
14_house_prices,Lasso,0,0.9999999345426963
14_house_prices,Lasso,1,0.9999996785278564
14_house_prices,Lasso,2,0.9999999118388007
14_house_prices,Lasso,3,0.9999999955421635
14_house_prices,Lasso,4,0.9999998917153484
14_house_prices,Lasso,5,1.0
14_house_prices,Lasso,6,0.9999989337743695
14_house_prices,Lasso,7,0.9999998948502692
14_house_prices,Lasso,8,0.9999997470026887
14_house_prices,Lasso,9,0.9999996458658382
14_house_prices,ElasticNet,0,0.9714913824915256
14_house_prices,ElasticNet,1,0.9741925133565074
14_house_prices,ElasticNet,2,0.9706038449124148
14_house_prices,ElasticNet,3,0.9742804875486502
14_house_prices,ElasticNet,4,0.9724110309397267
14_house_prices,ElasticNet,5,0.9743579485687253
14_house_prices,ElasticNet,6,0.9733343608530419
14_house_prices,ElasticNet,7,0.9725029983228555
14_house_prices,ElasticNet,8,0.9739848596797279
14_house_prices,ElasticNet,9,0.9726785410787889
14_house_prices,KNN,0,0.9961578043737431
14_house_prices,KNN,1,0.9960676169706969
14_house_prices,KNN,2,0.9950724184157442
14_house_prices,KNN,3,0.9960088103870343
14_house_prices,KNN,4,0.9963667552105769
14_house_prices,KNN,5,0.9966609926469112
14_house_prices,KNN,6,0.9962482448748384
14_house_prices,KNN,7,0.9963047916915508
14_house_prices,KNN,8,0.996132281147013
14_house_prices,KNN,9,0.9959737963570833
14_house_prices,RandomForest,0,0.9969759320355901
14_house_prices,RandomForest,1,0.9973236211939935
14_house_prices,RandomForest,2,0.9965942668457796
14_house_prices,RandomForest,3,0.9966177464182058
14_house_prices,RandomForest,4,0.9974918363513424
14_house_prices,RandomForest,5,0.9969166807970082
14_house_prices,RandomForest,6,0.9971534165758037
14_house_prices,RandomForest,7,0.9972838268650386
14_house_prices,RandomForest,8,0.9965591701811616
14_house_prices,RandomForest,9,0.9972579690742408
14_house_prices,SVR,0,0.7609543628473192
14_house_prices,SVR,1,0.7666101056599172
14_house_prices,SVR,2,0.751285588214737
14_house_prices,SVR,3,0.7746470928256015
14_house_prices,SVR,4,0.7577607305000411
14_house_prices,SVR,5,0.7757173316439137
14_house_prices,SVR,6,0.763887127164254
14_house_prices,SVR,7,0.7695995125467426
14_house_prices,SVR,8,0.767818735779834
14_house_prices,SVR,9,0.7549475013701259
14_house_prices,MLP,0,0.0
14_house_prices,MLP,1,0.0
14_house_prices,MLP,2,0.0
14_house_prices,MLP,3,0.0
14_house_prices,MLP,4,0.0
14_house_prices,MLP,5,0.0
14_house_prices,MLP,6,0.0
14_house_prices,MLP,7,0.0
14_house_prices,MLP,8,0.0
14_house_prices,MLP,9,0.0
14_house_prices,XGBoost,0,0.9968469519778832
14_house_prices,XGBoost,1,0.9967716311499952
14_house_prices,XGBoost,2,0.996869690995357
14_house_prices,XGBoost,3,0.9965233348695376
14_house_prices,XGBoost,4,0.997002869935891
14_house_prices,XGBoost,5,0.9965438636132243
14_house_prices,XGBoost,6,0.9968591113064714
14_house_prices,XGBoost,7,0.9968268401938698
14_house_prices,XGBoost,8,0.9972300869489354
14_house_prices,XGBoost,9,0.9972824287561087
14_house_prices,LightGBM,0,0.9984115018897924
14_house_prices,LightGBM,1,0.9983353785443047
14_house_prices,LightGBM,2,0.9985411483501258
14_house_prices,LightGBM,3,0.9982545828988433
14_house_prices,LightGBM,4,0.9983347183984582
14_house_prices,LightGBM,5,0.9980672358140856
14_house_prices,LightGBM,6,0.9984125242821004
14_house_prices,LightGBM,7,0.9988489866371895
14_house_prices,LightGBM,8,0.9983793589702579
14_house_prices,LightGBM,9,0.9990097585223932
14_house_prices,CatBoost,0,0.999175090446474
14_house_prices,CatBoost,1,0.9993969263305975
14_house_prices,CatBoost,2,0.9991706847630594
14_house_prices,CatBoost,3,0.9994750482283877
14_house_prices,CatBoost,4,0.9992319161562869
