ds,method,split_number,normalized
24_mutual_funds,Lasso,9,0.9115401231619485
24_mutual_funds,ElasticNet,0,0.8456745322003352
24_mutual_funds,ElasticNet,1,0.8112566548857086
24_mutual_funds,ElasticNet,2,0.9014942249926036
24_mutual_funds,ElasticNet,3,0.8291352265641109
24_mutual_funds,ElasticNet,4,0.9160418900539151
24_mutual_funds,ElasticNet,5,0.8327991268355126
24_mutual_funds,ElasticNet,6,0.8963028603045106
24_mutual_funds,ElasticNet,7,0.872956881906486
24_mutual_funds,ElasticNet,8,0.8999263867553782
24_mutual_funds,ElasticNet,9,0.9157802623454404
24_mutual_funds,KNN,0,0.5978176586980954
24_mutual_funds,KNN,1,0.7021888701329259
24_mutual_funds,KNN,2,0.7804814965880542
24_mutual_funds,KNN,3,0.6441592960070539
24_mutual_funds,KNN,4,0.8158029599473097
24_mutual_funds,KNN,5,0.6786208021360611
24_mutual_funds,KNN,6,0.7856587199385244
24_mutual_funds,KNN,7,0.760293344804315
24_mutual_funds,KNN,8,0.7294221557007328
24_mutual_funds,KNN,9,0.7029470566618562
24_mutual_funds,RandomForest,0,0.9311134799622007
24_mutual_funds,RandomForest,1,0.8982069820275261
24_mutual_funds,RandomForest,2,0.9862202517172926
24_mutual_funds,RandomForest,3,0.9455151837643416
24_mutual_funds,RandomForest,4,0.9887338013334603
24_mutual_funds,RandomForest,5,0.9479469488282205
24_mutual_funds,RandomForest,6,0.9570136591733729
24_mutual_funds,RandomForest,7,0.9607964389023615
24_mutual_funds,RandomForest,8,0.9535208064193527
24_mutual_funds,RandomForest,9,0.9700283265263411
24_mutual_funds,SVR,0,0.6068493721351781
24_mutual_funds,SVR,1,0.7001013599007688
24_mutual_funds,SVR,2,0.7483301061831557
24_mutual_funds,SVR,3,0.6344095350659311
24_mutual_funds,SVR,4,0.7694547244639331
24_mutual_funds,SVR,5,0.685791861901595
24_mutual_funds,SVR,6,0.7839160990645526
24_mutual_funds,SVR,7,0.726098197240323
24_mutual_funds,SVR,8,0.6976547337777725
24_mutual_funds,SVR,9,0.7604366706561267
24_mutual_funds,MLP,0,0.0
24_mutual_funds,MLP,1,0.0
24_mutual_funds,MLP,2,0.0
24_mutual_funds,MLP,3,0.0
24_mutual_funds,MLP,4,0.0
24_mutual_funds,MLP,5,0.0
24_mutual_funds,MLP,6,0.0
24_mutual_funds,MLP,7,0.0
