ds,method,split_number,normalized
24_mutual_funds,Lasso,9,0.9669529437749571
24_mutual_funds,ElasticNet,0,0.9443522297967384
24_mutual_funds,ElasticNet,1,0.912029468947891
24_mutual_funds,ElasticNet,2,0.9749419023925773
24_mutual_funds,ElasticNet,3,0.9293245698746068
24_mutual_funds,ElasticNet,4,0.9795635317231414
24_mutual_funds,ElasticNet,5,0.9482939862242564
24_mutual_funds,ElasticNet,6,0.9742147325212721
24_mutual_funds,ElasticNet,7,0.9593744681185404
24_mutual_funds,ElasticNet,8,0.9680815455721328
24_mutual_funds,ElasticNet,9,0.9687823895782158
24_mutual_funds,KNN,0,0.7796076174726972
24_mutual_funds,KNN,1,0.8398173559678954
24_mutual_funds,KNN,2,0.9221871478137765
24_mutual_funds,KNN,3,0.8062628480913409
24_mutual_funds,KNN,4,0.9399143529108063
24_mutual_funds,KNN,5,0.8595167267649011
24_mutual_funds,KNN,6,0.9268220308509805
24_mutual_funds,KNN,7,0.9023035238547957
24_mutual_funds,KNN,8,0.8787852666396339
24_mutual_funds,KNN,9,0.8464446488048842
24_mutual_funds,RandomForest,0,0.9796104955496472
24_mutual_funds,RandomForest,1,0.9583808436939898
24_mutual_funds,RandomForest,2,0.9974603116354686
24_mutual_funds,RandomForest,3,0.981947570715659
24_mutual_funds,RandomForest,4,0.9979340700644219
24_mutual_funds,RandomForest,5,0.9888743413494383
24_mutual_funds,RandomForest,6,0.9914986960729111
24_mutual_funds,RandomForest,7,0.9901469114124922
24_mutual_funds,RandomForest,8,0.9870606417460474
24_mutual_funds,RandomForest,9,0.9900077773312032
24_mutual_funds,SVR,0,0.7872416881065868
24_mutual_funds,SVR,1,0.8382825356818411
24_mutual_funds,SVR,2,0.9040979862192656
24_mutual_funds,SVR,3,0.7984338339445429
24_mutual_funds,SVR,4,0.9159700396188759
24_mutual_funds,SVR,5,0.8645202787985049
24_mutual_funds,SVR,6,0.9259114338233481
24_mutual_funds,SVR,7,0.8810684863803141
24_mutual_funds,SVR,8,0.8572852382861372
24_mutual_funds,SVR,9,0.8856272153046837
24_mutual_funds,MLP,0,0.0
24_mutual_funds,MLP,1,0.0
24_mutual_funds,MLP,2,0.0
24_mutual_funds,MLP,3,0.0
24_mutual_funds,MLP,4,0.0
24_mutual_funds,MLP,5,0.0
24_mutual_funds,MLP,6,0.0
24_mutual_funds,MLP,7,0.0
24_mutual_funds,MLP,8,0.0
24_mutual_funds,MLP,9,0.0
24_mutual_funds,XGBoost,0,0.9758104453455859
24_mutual_funds,XGBoost,1,0.9727352173924027
24_mutual_funds,XGBoost,2,0.9931095021041055
24_mutual_funds,XGBoost,3,0.9548945145414852
24_mutual_funds,XGBoost,4,0.9962370513036596
24_mutual_funds,XGBoost,5,0.9917012404858147
24_mutual_funds,XGBoost,6,0.9949341975103995
24_mutual_funds,XGBoost,7,0.9842894661205095
24_mutual_funds,XGBoost,8,0.9863434157431703
24_mutual_funds,XGBoost,9,0.9932112840632337
24_mutual_funds,LightGBM,0,0.9899933934596364
24_mutual_funds,LightGBM,1,0.9594634948885091
24_mutual_funds,LightGBM,2,0.9978313168847509
24_mutual_funds,LightGBM,3,0.9826242002751682
24_mutual_funds,LightGBM,4,0.9972865898427998
24_mutual_funds,LightGBM,5,0.9850320067566444
24_mutual_funds,LightGBM,6,0.9921789773047685
24_mutual_funds,LightGBM,7,0.9924516900241604
24_mutual_funds,LightGBM,8,0.9919809485267154
24_mutual_funds,LightGBM,9,0.9851661240224522
24_mutual_funds,CatBoost,0,0.9910746154231654
24_mutual_funds,CatBoost,1,0.9777585860162268
24_mutual_funds,CatBoost,2,0.9971119598596134
24_mutual_funds,CatBoost,3,0.9751050160130106
24_mutual_funds,CatBoost,4,0.9978347153853936
24_mutual_funds,CatBoost,5,0.9913559224550376
24_mutual_funds,CatBoost,6,0.9956764573793013
24_mutual_funds,CatBoost,7,0.990351545731428
24_mutual_funds,CatBoost,8,0.9948229076761113
24_mutual_funds,CatBoost,9,0.9923602871111634
24_mutual_funds,TabPFNReg,0,1.0
24_mutual_funds,TabPFNReg,1,1.0
24_mutual_funds,TabPFNReg,2,1.0
24_mutual_funds,TabPFNReg,3,1.0
24_mutual_funds,TabPFNReg,4,1.0
24_mutual_funds,TabPFNReg,5,1.0
24_mutual_funds,TabPFNReg,6,1.0
24_mutual_funds,TabPFNReg,7,1.0
24_mutual_funds,TabPFNReg,8,1.0
24_mutual_funds,TabPFNReg,9,1.0
25_tesla,Linear,0,0.9995929950979908
25_tesla,Linear,1,1.0
25_tesla,Linear,2,1.0
25_tesla,Linear,3,1.0
25_tesla,Linear,4,0.9995336855020315
25_tesla,Linear,5,1.0
25_tesla,Linear,6,0.9995564038938258
25_tesla,Linear,7,1.0
25_tesla,Linear,8,1.0
25_tesla,Linear,9,1.0
25_tesla,Ridge,0,0.9879063609850329
25_tesla,Ridge,1,0.9891480905352893
25_tesla,Ridge,2,0.9898333395715379
25_tesla,Ridge,3,0.994790603549742
25_tesla,Ridge,4,0.9939759544141791
25_tesla,Ridge,5,0.9965870058158064
25_tesla,Ridge,6,0.9894159847440835
25_tesla,Ridge,7,0.9982976513660822
25_tesla,Ridge,8,0.9905901067291307
25_tesla,Ridge,9,0.99000649911384
25_tesla,Lasso,0,0.9720182710437256
25_tesla,Lasso,1,0.9748265953732698
25_tesla,Lasso,2,0.9732683145278738
25_tesla,Lasso,3,0.9815898133007068
25_tesla,Lasso,4,0.9801343303105694
25_tesla,Lasso,5,0.9832894437356426
25_tesla,Lasso,6,0.9724126214295058
25_tesla,Lasso,7,0.9859906042340023
25_tesla,Lasso,8,0.9682622849737375
25_tesla,Lasso,9,0.9705645701842864
25_tesla,ElasticNet,0,0.0
25_tesla,ElasticNet,1,0.0
25_tesla,ElasticNet,2,0.0
25_tesla,ElasticNet,3,0.0
25_tesla,ElasticNet,4,0.0
25_tesla,ElasticNet,5,0.0928066257184901
25_tesla,ElasticNet,6,0.0
25_tesla,ElasticNet,7,0.0
25_tesla,ElasticNet,8,0.0
25_tesla,ElasticNet,9,0.0
25_tesla,KNN,0,0.870245112475445
25_tesla,KNN,1,0.8665461737348298
25_tesla,KNN,2,0.8305902415247965
25_tesla,KNN,3,0.8754365451627618
25_tesla,KNN,4,0.9082451591084008
25_tesla,KNN,5,0.8398818726620685
25_tesla,KNN,6,0.892655701944547
25_tesla,KNN,7,0.7632862225207127
25_tesla,KNN,8,0.8439821040730308
25_tesla,KNN,9,0.909219158988558
25_tesla,RandomForest,0,0.9894891007483463
25_tesla,RandomForest,1,0.988542430412413
25_tesla,RandomForest,2,0.9895706318118832
25_tesla,RandomForest,3,0.9935728192956464
25_tesla,RandomForest,4,0.9949547264241594
25_tesla,RandomForest,5,0.9904119588226955
25_tesla,RandomForest,6,0.9902730793635596
25_tesla,RandomForest,7,0.9965715127598226
25_tesla,RandomForest,8,0.991898559176538
25_tesla,RandomForest,9,0.992170042100066
25_tesla,SVR,0,0.2262267673900995
25_tesla,SVR,1,0.4568093429640451
25_tesla,SVR,2,0.29464664436762883
25_tesla,SVR,3,0.2784267953730696
25_tesla,SVR,4,0.5059219462244677
25_tesla,SVR,5,0.0
25_tesla,SVR,6,0.26502455145528164
25_tesla,SVR,7,0.03514673429321567
25_tesla,SVR,8,0.1487543247890169
25_tesla,SVR,9,0.5254387816203646
25_tesla,MLP,0,0.9037213860611022
25_tesla,MLP,1,0.9325652424248209
25_tesla,MLP,2,0.9291044066930698
25_tesla,MLP,3,0.8757592077069917
25_tesla,MLP,4,0.9064915208538366
25_tesla,MLP,5,0.9068318230030868
25_tesla,MLP,6,0.8723355453471942
25_tesla,MLP,7,0.9125840045840896
25_tesla,MLP,8,0.9076880235929518
25_tesla,MLP,9,0.8949783961514114
25_tesla,XGBoost,0,0.9832464395197605
25_tesla,XGBoost,1,0.9817169130503177
25_tesla,XGBoost,2,0.9777879508298943
25_tesla,XGBoost,3,0.9622905669490156
25_tesla,XGBoost,4,0.9938324418441251
25_tesla,XGBoost,5,0.9845760422548415
25_tesla,XGBoost,6,0.9782505627627619
25_tesla,XGBoost,7,0.991347019761857
25_tesla,XGBoost,8,0.9903591680884168
25_tesla,XGBoost,9,0.9851122032275332
25_tesla,LightGBM,0,0.9844856126264291
25_tesla,LightGBM,1,0.9883869947714242
25_tesla,LightGBM,2,0.9822460709858203
