ds,method,split_number,normalized
11_bank_churn,LogReg,0,0.006284443585033182
11_bank_churn,LogReg,1,0.0
11_bank_churn,LogReg,2,0.0
11_bank_churn,LogReg,3,0.0
11_bank_churn,LogReg,4,0.0
11_bank_churn,LogReg,5,0.0
11_bank_churn,LogReg,6,0.0
11_bank_churn,LogReg,7,0.0
11_bank_churn,LogReg,8,0.02523398788768581
11_bank_churn,LogReg,9,0.0
11_bank_churn,MLP,0,0.7289632279480496
11_bank_churn,MLP,1,0.8589074111267312
11_bank_churn,MLP,2,0.8928355290722036
11_bank_churn,MLP,3,0.8127150581681136
11_bank_churn,MLP,4,0.7502294480136363
11_bank_churn,MLP,5,0.8749409517550167
11_bank_churn,MLP,6,0.8394505972325242
11_bank_churn,MLP,7,0.8537430335893964
11_bank_churn,MLP,8,0.7880650883954241
11_bank_churn,MLP,9,0.836263004151078
11_bank_churn,RandomForest,0,0.6107512327177798
11_bank_churn,RandomForest,1,0.8000602530628635
11_bank_churn,RandomForest,2,0.8491457567152376
11_bank_churn,RandomForest,3,0.8228193784477584
11_bank_churn,RandomForest,4,0.789065163235874
11_bank_churn,RandomForest,5,0.8406005463246317
11_bank_churn,RandomForest,6,0.7377036601273754
11_bank_churn,RandomForest,7,0.9017673344379165
11_bank_churn,RandomForest,8,0.8113415305560645
11_bank_churn,RandomForest,9,0.8611694767590835
11_bank_churn,SVM,0,0.3964678204260518
11_bank_churn,SVM,1,0.577123920465957
11_bank_churn,SVM,2,0.6247381406824631
11_bank_churn,SVM,3,0.4220874979518267
11_bank_churn,SVM,4,0.45936803461387166
11_bank_churn,SVM,5,0.6337776499825426
11_bank_churn,SVM,6,0.5135432386116577
11_bank_churn,SVM,7,0.5413716925239741
11_bank_churn,SVM,8,0.4108093228115253
11_bank_churn,SVM,9,0.5591400604725048
11_bank_churn,TabPFN,0,1.0
11_bank_churn,TabPFN,1,1.0
11_bank_churn,TabPFN,2,1.0
11_bank_churn,TabPFN,3,1.0
11_bank_churn,TabPFN,4,1.0
11_bank_churn,TabPFN,5,1.0
11_bank_churn,TabPFN,6,1.0
11_bank_churn,TabPFN,7,1.0
11_bank_churn,TabPFN,8,1.0
11_bank_churn,TabPFN,9,0.9886742171885403
11_bank_churn,XGBoost,0,0.6174546392084809
11_bank_churn,XGBoost,1,0.6924081140791308
11_bank_churn,XGBoost,2,0.8170010707136537
11_bank_churn,XGBoost,3,0.6352613468785836
11_bank_churn,XGBoost,4,0.6368952405926321
11_bank_churn,XGBoost,5,0.8151738585717508
11_bank_churn,XGBoost,6,0.6997979384607508
11_bank_churn,XGBoost,7,0.7674850630114974
11_bank_churn,XGBoost,8,0.7858628494524986
11_bank_churn,XGBoost,9,0.8959155434838306
1_german_credit,CatBoost,0,0.8970189701897014
1_german_credit,CatBoost,1,0.7492877492877495
1_german_credit,CatBoost,2,0.5489361702127664
1_german_credit,CatBoost,3,0.8847656250000006
1_german_credit,CatBoost,4,0.9775132275132279
1_german_credit,CatBoost,5,1.0
1_german_credit,CatBoost,6,1.0
1_german_credit,CatBoost,7,0.7863636363636343
1_german_credit,CatBoost,8,0.5815217391304354
1_german_credit,CatBoost,9,0.7182539682539673
1_german_credit,KNN,0,0.0
1_german_credit,KNN,1,0.0
1_german_credit,KNN,2,0.0
1_german_credit,KNN,3,0.0
1_german_credit,KNN,4,0.0
1_german_credit,KNN,5,0.0
1_german_credit,KNN,6,0.8354978354978357
1_german_credit,KNN,7,0.11363636363636316
1_german_credit,KNN,8,0.0
1_german_credit,KNN,9,0.0
1_german_credit,LightGBM,0,0.9403794037940376
1_german_credit,LightGBM,1,0.23646723646723758
1_german_credit,LightGBM,2,0.046808510638298176
1_german_credit,LightGBM,3,0.5800781250000004
1_german_credit,LightGBM,4,0.9140211640211643
1_german_credit,LightGBM,5,0.8888888888888897
1_german_credit,LightGBM,6,0.584415584415585
1_german_credit,LightGBM,7,0.12727272727272587
1_german_credit,LightGBM,8,0.3858695652173921
1_german_credit,LightGBM,9,0.908730158730158
1_german_credit,LogReg,0,0.8861788617886178
1_german_credit,LogReg,1,0.8632478632478657
1_german_credit,LogReg,2,0.30212765957447185
1_german_credit,LogReg,3,0.7792968750000001
1_german_credit,LogReg,4,0.8214285714285713
1_german_credit,LogReg,5,0.43589743589743557
1_german_credit,LogReg,6,0.0
1_german_credit,LogReg,7,0.872727272727272
1_german_credit,LogReg,8,0.5380434782608704
1_german_credit,LogReg,9,1.0
1_german_credit,MLP,0,0.6531165311653109
1_german_credit,MLP,1,0.4358974358974362
1_german_credit,MLP,2,1.0
1_german_credit,MLP,3,0.7949218749999998
1_german_credit,MLP,4,0.7843915343915345
1_german_credit,MLP,5,0.7735042735042729
1_german_credit,MLP,6,0.7792207792207794
1_german_credit,MLP,7,0.7681818181818166
1_german_credit,MLP,8,0.6213768115942037
1_german_credit,MLP,9,0.7500000000000009
1_german_credit,RandomForest,0,1.0
1_german_credit,RandomForest,1,0.6837606837606836
1_german_credit,RandomForest,2,0.4936170212765971
1_german_credit,RandomForest,3,1.0
1_german_credit,RandomForest,4,0.9285714285714283
1_german_credit,RandomForest,5,0.7371794871794872
1_german_credit,RandomForest,6,0.5995670995670985
1_german_credit,RandomForest,7,0.5545454545454541
1_german_credit,RandomForest,8,0.3278985507246392
1_german_credit,RandomForest,9,0.5992063492063487
1_german_credit,SVM,0,0.7289972899728981
1_german_credit,SVM,1,0.549857549857551
1_german_credit,SVM,2,0.4808510638297895
1_german_credit,SVM,3,0.6621093750000006
1_german_credit,SVM,4,0.7843915343915345
1_german_credit,SVM,5,0.7179487179487183
1_german_credit,SVM,6,0.6233766233766235
