ds,method,split_number,rmse,r2
12_real_estate,Linear,0,8.409372309722825,0.6391741279714347
12_real_estate,Linear,1,6.280620767739897,0.7061487731180208
12_real_estate,Linear,2,10.46213617193949,0.338615655360622
12_real_estate,Linear,3,6.177540202890442,0.6405051463962518
12_real_estate,Linear,4,7.909966527385341,0.6549811677574191
12_real_estate,Linear,5,8.55713730086648,0.5919997486211779
12_real_estate,Linear,6,7.96193343825193,0.6147898941553519
12_real_estate,Linear,7,9.143926772689035,0.6051551262509405
12_real_estate,Linear,8,8.588111462914839,0.5849710657742488
12_real_estate,Linear,9,13.5482365028777,0.40082160370419684
12_real_estate,Ridge,0,8.399974281789481,0.6399801707146269
12_real_estate,Ridge,1,6.2843222616715675,0.7058023076685552
12_real_estate,Ridge,2,10.458031562306514,0.33913451536656924
12_real_estate,Ridge,3,6.173620594927452,0.6409611958330848
12_real_estate,Ridge,4,7.909005401833219,0.6550650078768531
12_real_estate,Ridge,5,8.55541406423447,0.5921640582871539
12_real_estate,Ridge,6,7.966824189812188,0.614316505230415
12_real_estate,Ridge,7,9.14094435864544,0.6054126521218858
12_real_estate,Ridge,8,8.586362010185713,0.5851401366000982
12_real_estate,Ridge,9,13.553702115693172,0.4003380665745797
12_real_estate,Lasso,0,8.33908802756016,0.6451803808282246
12_real_estate,Lasso,1,6.6889815648082545,0.6666945887689036
12_real_estate,Lasso,2,10.557635823958119,0.32648615354254573
12_real_estate,Lasso,3,6.232461312567055,0.6340845901518655
12_real_estate,Lasso,4,8.185465613195458,0.6305290593252478
12_real_estate,Lasso,5,8.220007350174859,0.6235148577956033
12_real_estate,Lasso,6,8.230934596956033,0.5883208344046227
12_real_estate,Lasso,7,9.426430274059115,0.5803806139562663
12_real_estate,Lasso,8,9.13944527088713,0.5299731111177473
12_real_estate,Lasso,9,13.789298794127122,0.3793096802095166
12_real_estate,ElasticNet,0,8.407754524487428,0.6393129451381214
12_real_estate,ElasticNet,1,7.092661182791301,0.6252507308203148
12_real_estate,ElasticNet,2,10.59196807454076,0.3220986479232104
12_real_estate,ElasticNet,3,6.228188315276523,0.6345861639240484
12_real_estate,ElasticNet,4,8.40215423327494,0.6107086012606189
12_real_estate,ElasticNet,5,8.503116942844896,0.597134818845076
12_real_estate,ElasticNet,6,8.588495478811081,0.5517763480215891
12_real_estate,ElasticNet,7,9.580438938400698,0.5665571537770614
12_real_estate,ElasticNet,8,9.392517739773673,0.5035825054809957
12_real_estate,ElasticNet,9,14.211977039282464,0.3406749109186378
12_real_estate,KNN,0,6.8328039283891,0.7617853723520264
12_real_estate,KNN,1,6.085179498076415,0.7241524358774631
12_real_estate,KNN,2,9.620396487225907,0.4407588551801468
12_real_estate,KNN,3,5.767193755157166,0.6866782084067864
12_real_estate,KNN,4,6.527634315439058,0.765033935331263
12_real_estate,KNN,5,8.719405327675316,0.5763793101276617
12_real_estate,KNN,6,7.93232288434248,0.6176497709978853
12_real_estate,KNN,7,8.232364447122341,0.6799556225410117
12_real_estate,KNN,8,8.565673980003403,0.5871368597389743
12_real_estate,KNN,9,13.131849943051787,0.4370855065908651
12_real_estate,RandomForest,0,6.441969067182257,0.7882576254553841
12_real_estate,RandomForest,1,6.000819852918087,0.7317476439746506
12_real_estate,RandomForest,2,7.272775073330169,0.6803950577424625
12_real_estate,RandomForest,3,6.998711862297825,0.5385785872383005
12_real_estate,RandomForest,4,5.651629359389612,0.8238669503905848
12_real_estate,RandomForest,5,7.947240640547106,0.6480863139723017
12_real_estate,RandomForest,6,6.949498268778183,0.7065274476418046
12_real_estate,RandomForest,7,7.11995486599179,0.7606047625231986
12_real_estate,RandomForest,8,6.099938266435484,0.7906206197669802
12_real_estate,RandomForest,9,12.404825887358307,0.4976898502513042
12_real_estate,SVR,0,8.383823026423014,0.641363313509447
12_real_estate,SVR,1,6.324698462834498,0.7020097763094314
12_real_estate,SVR,2,9.526505373364945,0.4516215149326239
12_real_estate,SVR,3,6.16299433746087,0.6421961130917551
12_real_estate,SVR,4,8.216976775153165,0.62767891765078
12_real_estate,SVR,5,8.467486610162753,0.6005039707729637
12_real_estate,SVR,6,8.201257206475837,0.5912841765216132
12_real_estate,SVR,7,8.819142816449272,0.632706048753577
12_real_estate,SVR,8,8.052745778675341,0.6351023991100461
12_real_estate,SVR,9,13.680989205685979,0.3890219497338965
12_real_estate,MLP,0,8.171475540284344,0.6593005134990768
12_real_estate,MLP,1,6.225446854142878,0.7112889365725177
12_real_estate,MLP,2,9.08902767673749,0.500830518081662
12_real_estate,MLP,3,6.621451077942386,0.586983058794365
12_real_estate,MLP,4,6.769627713073233,0.7472896197197345
12_real_estate,MLP,5,7.855811752647528,0.6561369065234075
12_real_estate,MLP,6,7.644566499146362,0.6448872113451192
12_real_estate,MLP,7,7.886316865463474,0.7062962643356521
12_real_estate,MLP,8,7.490535802388775,0.6842751259928641
12_real_estate,MLP,9,12.878970428960429,0.45855680491048334
12_real_estate,XGBoost,0,6.979522491306145,0.7514453278801954
12_real_estate,XGBoost,1,7.303447037766296,0.6026455006783293
12_real_estate,XGBoost,2,6.709301407063916,0.728000704698702
12_real_estate,XGBoost,3,7.864167009214292,0.41740470559239273
12_real_estate,XGBoost,4,6.523330342781819,0.7653436812742591
12_real_estate,XGBoost,5,8.036497246206542,0.6401371373621629
12_real_estate,XGBoost,6,7.489175982875354,0.6591771852691672
12_real_estate,XGBoost,7,7.241129288651095,0.7523868935713843
12_real_estate,XGBoost,8,10.535875095997715,0.3753679602722867
12_real_estate,XGBoost,9,13.818365887741557,0.37669015918462023
12_real_estate,LightGBM,0,6.472124239861269,0.7862706328606567
12_real_estate,LightGBM,1,5.560001783031157,0.7697115120863468
12_real_estate,LightGBM,2,7.8952485025826595,0.6233440937707309
12_real_estate,LightGBM,3,6.840837845223521,0.5591608982420794
12_real_estate,LightGBM,4,5.906756393443795,0.8076059532141473
12_real_estate,LightGBM,5,7.36204687143893,0.6980044203815703
12_real_estate,LightGBM,6,6.78475721392081,0.7202763349194402
12_real_estate,LightGBM,7,6.688471034386229,0.7887412400070191
12_real_estate,LightGBM,8,6.904587492702511,0.7317384035637808
12_real_estate,LightGBM,9,12.976215318967986,0.4503494151262437
12_real_estate,CatBoost,0,6.847518614483683,0.7607582602470356
12_real_estate,CatBoost,1,6.292983787175191,0.7049907780333617
12_real_estate,CatBoost,2,7.183533524086421,0.6881904448326335
12_real_estate,CatBoost,3,5.940629038327774,0.6675499640600867
12_real_estate,CatBoost,4,6.423256040234438,0.7724881732856648
12_real_estate,CatBoost,5,7.0798632463966955,0.7207114264456034
12_real_estate,CatBoost,6,7.4542913663375945,0.6623448989443743
12_real_estate,CatBoost,7,6.933600791444964,0.7729723826085264
12_real_estate,CatBoost,8,7.323751649057452,0.6981784480291277
12_real_estate,CatBoost,9,12.701149593228392,0.47340507410832455
12_real_estate,TabPFNReg,0,6.594324613601301,0.7781235784675303
12_real_estate,TabPFNReg,1,5.755435384456654,0.753237744329404
12_real_estate,TabPFNReg,2,7.519109655485499,0.6583778584716602
12_real_estate,TabPFNReg,3,6.069404800357065,0.6529806241331143
12_real_estate,TabPFNReg,4,5.531803264909972,0.8312565352306435
12_real_estate,TabPFNReg,5,7.523753599633214,0.6845921063449688
12_real_estate,TabPFNReg,6,7.565022759852737,0.6522388487021953
12_real_estate,TabPFNReg,7,6.831311793083302,0.7796214909383654
12_real_estate,TabPFNReg,8,5.9216891655640165,0.8026785743178784
12_real_estate,TabPFNReg,9,12.542646922771382,0.4864662374930858
13_boston_housing,Linear,0,83735.84309203236,0.7369366851881078
13_boston_housing,Linear,1,80753.17495851434,0.6230823275637198
13_boston_housing,Linear,2,85660.27304131947,0.6965099432885737
13_boston_housing,Linear,3,103625.45987888848,0.745924517276294
13_boston_housing,Linear,4,113662.39542838493,0.5370667517773684
13_boston_housing,Linear,5,79106.90336137946,0.7498286535740092
13_boston_housing,Linear,6,103242.26207460678,0.6352420203653475
13_boston_housing,Linear,7,77860.12341334674,0.7826302265375864
13_boston_housing,Linear,8,79087.9558030728,0.7159106677598926
13_boston_housing,Linear,9,77406.2522447141,0.781269984143494
13_boston_housing,Ridge,0,83773.01818841683,0.7367030558475866
13_boston_housing,Ridge,1,80740.76858342848,0.6231981328633764
13_boston_housing,Ridge,2,85673.54675883934,0.6964158797686058
13_boston_housing,Ridge,3,103671.48646356593,0.7456987653461304
13_boston_housing,Ridge,4,113613.37315274995,0.5374659893135991
13_boston_housing,Ridge,5,79091.63040218227,0.7499252440803394
13_boston_housing,Ridge,6,103165.0367761597,0.635787494829491
13_boston_housing,Ridge,7,77891.47308760161,0.7824551473523818
13_boston_housing,Ridge,8,79051.89913609483,0.7161696447266572
13_boston_housing,Ridge,9,77426.66800173208,0.7811545896471688
13_boston_housing,Lasso,0,83735.9529974802,0.7369359946329206
13_boston_housing,Lasso,1,80753.26016406265,0.6230815321648044
13_boston_housing,Lasso,2,85660.48285721496,0.6965084565523366
13_boston_housing,Lasso,3,103625.67202973909,0.745923476945375
13_boston_housing,Lasso,4,113663.35554035903,0.5370589309034484
13_boston_housing,Lasso,5,79106.89567467346,0.749828702191599
13_boston_housing,Lasso,6,103241.76609450471,0.6352455249818054
13_boston_housing,Lasso,7,77860.1220728346,0.7826302340224659
13_boston_housing,Lasso,8,79087.70559938841,0.7159124652544533
13_boston_housing,Lasso,9,77406.16831961926,0.7812704584443894
13_boston_housing,ElasticNet,0,93847.61240089087,0.6695665918607112
13_boston_housing,ElasticNet,1,82681.25882746595,0.6048686865836881
13_boston_housing,ElasticNet,2,90903.58088231056,0.6582192954499775
13_boston_housing,ElasticNet,3,116676.59878880419,0.6778950946292073
13_boston_housing,ElasticNet,4,109413.51105827348,0.5710302442871473
13_boston_housing,ElasticNet,5,83114.61614485143,0.7238382003962915
13_boston_housing,ElasticNet,6,98061.02314604571,0.67093429786598
13_boston_housing,ElasticNet,7,88115.61286132701,0.7215964879550576
13_boston_housing,ElasticNet,8,79117.96949462616,0.7156950043908924
13_boston_housing,ElasticNet,9,86560.21230505667,0.7264775810203901
13_boston_housing,KNN,0,68101.29514186937,0.826000405468002
13_boston_housing,KNN,1,59272.22621093289,0.7969374824432722
13_boston_housing,KNN,2,60225.08779570188,0.8499830119852032
13_boston_housing,KNN,3,76483.12755111417,0.8615920312130466
13_boston_housing,KNN,4,79915.65303493428,0.7711512895583512
13_boston_housing,KNN,5,85580.19397033405,0.7072106131836835
13_boston_housing,KNN,6,75709.349488686,0.8038497762946356
13_boston_housing,KNN,7,58946.96938774715,0.875407488331095
13_boston_housing,KNN,8,69501.99133837821,0.7806039920435422
13_boston_housing,KNN,9,50152.75291546816,0.9081781885717719
13_boston_housing,RandomForest,0,61550.25529597745,0.8578662511905971
13_boston_housing,RandomForest,1,55411.28712636082,0.8225304842015461
13_boston_housing,RandomForest,2,58349.65534602582,0.8591807106417355
13_boston_housing,RandomForest,3,86746.2511927749,0.8219543987673736
13_boston_housing,RandomForest,4,78985.602194324,0.7764469335556333
13_boston_housing,RandomForest,5,82327.08211153849,0.7290468255933298
13_boston_housing,RandomForest,6,74078.05940357779,0.8122115090504788
13_boston_housing,RandomForest,7,63955.91623923466,0.8533336691573679
13_boston_housing,RandomForest,8,62568.362053037636,0.8221950706100585
13_boston_housing,RandomForest,9,58261.53771303586,0.8760860536153241
13_boston_housing,SVR,0,164335.0868816777,-0.013206788849482454
13_boston_housing,SVR,1,132535.34750213017,-0.015291452518539472
13_boston_housing,SVR,2,155534.34081595612,-0.0005484969084104119
13_boston_housing,SVR,3,208527.38780130155,-0.028859384761319218
13_boston_housing,SVR,4,167683.94533570588,-0.007552608115250603
13_boston_housing,SVR,5,159533.25037417142,-0.017445662313262833
13_boston_housing,SVR,6,173363.31086543144,-0.028499685983919276
13_boston_housing,SVR,7,167951.96413259656,-0.0114377328401436
13_boston_housing,SVR,8,153553.4637884073,-0.07091119881681274
13_boston_housing,SVR,9,168633.23407360172,-0.0381082461146236
13_boston_housing,MLP,0,454726.65455038426,-6.757795322615152
13_boston_housing,MLP,1,443922.4823456345,-10.39046800207098
13_boston_housing,MLP,2,471622.7792428367,-8.199730485949784
13_boston_housing,MLP,3,514101.38392546657,-5.253560610661038
13_boston_housing,MLP,4,479053.30361105566,-7.223419456387589
13_boston_housing,MLP,5,483899.958197039,-8.360950879416679
13_boston_housing,MLP,6,496508.3121736003,-7.43612149139954
13_boston_housing,MLP,7,486067.51262714615,-7.47153612815214
13_boston_housing,MLP,8,495375.05698768713,-10.145575438535758
13_boston_housing,MLP,9,498869.83394973876,-8.085122544779026
13_boston_housing,XGBoost,0,63884.62406383915,0.8468806134419973
13_boston_housing,XGBoost,1,76256.6330442864,0.6638891441766601
13_boston_housing,XGBoost,2,59996.99331870492,0.8511171987346602
13_boston_housing,XGBoost,3,92171.10162253807,0.7989892083856444
13_boston_housing,XGBoost,4,81007.08673266173,0.7648576837124902
13_boston_housing,XGBoost,5,89752.06684085455,0.6779689752330103
13_boston_housing,XGBoost,6,75667.95744670945,0.8040641973380134
13_boston_housing,XGBoost,7,74157.84180928646,0.8028107924845214
13_boston_housing,XGBoost,8,64419.51309339752,0.8115183387233867
13_boston_housing,XGBoost,9,72033.35105969774,0.8105809994407337
13_boston_housing,LightGBM,0,65469.30438864575,0.8391900389694256
13_boston_housing,LightGBM,1,58741.11764524101,0.8005602603417337
13_boston_housing,LightGBM,2,57759.44005741347,0.8620151179205391
13_boston_housing,LightGBM,3,98756.66390938777,0.7692388796340905
13_boston_housing,LightGBM,4,73182.10583424663,0.8080913418829073
13_boston_housing,LightGBM,5,83497.66345847952,0.721286861062727
13_boston_housing,LightGBM,6,70586.06256913484,0.8294987010412507
13_boston_housing,LightGBM,7,69198.81353616403,0.8283015899003234
13_boston_housing,LightGBM,8,64712.67488363492,0.8097989419798091
13_boston_housing,LightGBM,9,58088.0677682414,0.8768228465591289
13_boston_housing,CatBoost,0,55677.737989466485,0.8836943910630611
13_boston_housing,CatBoost,1,61862.82962739504,0.7787991204291468
13_boston_housing,CatBoost,2,56606.18823619799,0.8674702494624682
13_boston_housing,CatBoost,3,77855.93214172062,0.8565788386086999
13_boston_housing,CatBoost,4,75858.47398738081,0.7937979549980532
13_boston_housing,CatBoost,5,83790.82963426424,0.7193262622822478
13_boston_housing,CatBoost,6,70505.6779362795,0.8298868195928183
13_boston_housing,CatBoost,7,63341.19748425658,0.8561395162341366
13_boston_housing,CatBoost,8,63353.85206504002,0.8177026827643064
13_boston_housing,CatBoost,9,58448.41679264729,0.8752898486364652
13_boston_housing,TabPFNReg,0,60072.60208127036,0.8646088173870479
13_boston_housing,TabPFNReg,1,53510.06788079573,0.834499888179836
13_boston_housing,TabPFNReg,2,54838.639527298845,0.8756176087030229
13_boston_housing,TabPFNReg,3,75415.84401718856,0.865427906335509
13_boston_housing,TabPFNReg,4,68124.17259197391,0.8337019160869733
13_boston_housing,TabPFNReg,5,78938.97453063658,0.7508896580948945
13_boston_housing,TabPFNReg,6,71392.93180425209,0.8255784215467804
