ds,method,normalized
26_sandp,ElasticNet,0.9789942058092991
26_sandp,KNN,0.986455923446432
26_sandp,Lasso,0.9997099247655894
26_sandp,LightGBM,0.9763677122141292
26_sandp,Linear,1.0
26_sandp,MLP,0.9998372867180434
26_sandp,RandomForest,0.999565771460653
26_sandp,Ridge,0.9999668620000317
26_sandp,SVR,0.0
26_sandp,TabPFNReg,0.9217691600623257
26_sandp,XGBoost,0.9905461238931668
28_gs,CatBoost,0.9856318923094761
28_gs,ElasticNet,0.04379811814271693
28_gs,KNN,0.9443129441897974
28_gs,Lasso,0.9584188900540522
28_gs,LightGBM,0.989458132281553
28_gs,Linear,0.9926788633948628
28_gs,MLP,1.0
28_gs,RandomForest,0.9925771200865188
28_gs,Ridge,0.9895694185337285
28_gs,SVR,0.0
28_gs,TabPFNReg,0.9833853290907906
28_gs,XGBoost,0.9835579815338483
29_yahoo,CatBoost,0.9999763102786384
29_yahoo,ElasticNet,0.9995480521100235
29_yahoo,KNN,0.9998612051254656
29_yahoo,Lasso,0.9999992674898909
29_yahoo,LightGBM,0.9999632584781146
29_yahoo,Linear,0.9999990273936256
29_yahoo,MLP,0.0
29_yahoo,RandomForest,0.999974589012319
29_yahoo,Ridge,0.9999985728326203
29_yahoo,SVR,0.9808243770506254
29_yahoo,TabPFNReg,1.0
29_yahoo,XGBoost,0.999962225023774
30_netflix,CatBoost,0.9986632549175312
30_netflix,ElasticNet,0.9724588221272616
30_netflix,KNN,0.9945855963079877
30_netflix,Lasso,0.9991059561056473
30_netflix,LightGBM,0.9984867826129423
30_netflix,Linear,1.0
30_netflix,MLP,0.0
30_netflix,RandomForest,0.9989570531759108
30_netflix,Ridge,0.9995991236465253
30_netflix,SVR,0.8807421763601481
30_netflix,TabPFNReg,0.9999596871572232
30_netflix,XGBoost,0.9985497000275151
